Brand,Category,Product,SKU,Price,Price Display,Lead Time,Caption,Description,Specs (pipe separated)
Lawrence Central,Key Chain w/ Pendant,Lawrence Central Key Chain w/ Pendant,RB-LC-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Lawrence North,Key Chain w/ Pendant,Lawrence North Key Chain w/ Pendant,RB-LN-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Martinsville,Key Chain w/ Pendant,Martinsville Key Chain w/ Pendant,RB-MAR-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Monrovia,Key Chain w/ Pendant,Monrovia Key Chain w/ Pendant,RB-MON-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Noblesville,Key Chain w/ Pendant,Noblesville Key Chain w/ Pendant,RB-NOB-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
North Central,Key Chain w/ Pendant,North Central Key Chain w/ Pendant,RB-NC-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Plainfield,Key Chain w/ Pendant,Plainfield Key Chain w/ Pendant (Shield),RB-PLA-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Plainfield,Key Chain w/ Pendant,Plainfield Key Chain w/ Pendant (Red Script),RB-PLA-KC-2,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Plainfield,Key Chain w/ Pendant,Plainfield Key Chain w/ Pendant (Blue Script),RB-PLA-KC-3,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Plainfield,Key Chain w/ Pendant,Plainfield Key Chain w/ Pendant (Red P),RB-PLA-KC-4,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Plainfield,Key Chain w/ Pendant,Plainfield Key Chain w/ Pendant (Blue P),RB-PLA-KC-5,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Plainfield,Key Chain w/ Pendant,Plainfield Key Chain w/ Pendant (Ball Man),RB-PLA-KC-6,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Speedway,Key Chain w/ Pendant,Speedway Key Chain w/ Pendant,RB-SPE-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Roncalli,Key Chain w/ Pendant,Roncalli Key Chain w/ Pendant,RB-RON-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Sheridan,Key Chain w/ Pendant,Sheridan Key Chain w/ Pendant,RB-SHE-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Southport,Key Chain w/ Pendant,Southport Key Chain w/ Pendant,RB-SOU-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Tri-West,Key Chain w/ Pendant,Tri-West Key Chain w/ Pendant,RB-TW-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Warren Central,Key Chain w/ Pendant,Warren Central Key Chain w/ Pendant,RB-WC-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Westfield,Key Chain w/ Pendant,Westfield Key Chain w/ Pendant,RB-WES-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Whiteland,Key Chain w/ Pendant,Whiteland Key Chain w/ Pendant,RB-WHI-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Zionsville,Key Chain w/ Pendant,Zionsville Key Chain w/ Pendant,RB-ZIO-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
